No.,Texto
415,Colombia hoy espera dar un mensaje de Paz desde el interior mismo de sus sociedad. No podemos lanzar un mensaje coherente de paz al mundo si nos matamos entre nosotros mismos. Una Colombia en Paz será una potencia mundial de la Vida. https://www.eltiempo.com/politica/proceso-de-paz/gobierno-y-el-estado-mayor-central-se-sientan-a-negociar-hoy-en-tibu-816413
416,Felicito a Daniel Noboa como presidente elegido por el pueblo ecuatoriano. Ojalá trabajemos en detener la violencia que el narcotráfico ha expandido en el Ecuador.
417,"Respeto la elección de los ciudadanos colombianos sobre sus creencias religiosas. Deben ser respetadas y así lo consignamos en la constitución de 1991. Tienen derecho a actuar de acuerdo a sus convicciones y necesidades, pero creo que los y las colombianas deben ser constructores y constructoras de la paz del mundo y no colaborar con los crímenes de guerra ni fuera del país ni dentro. En verdad el ser humano no debe bombardear niños ni fuera de Colombia ni dentro."
418,La Armada y la fuerza aeroespacial incautan casi 2 toneladas de cocaína en el Caribe.
419,Esta a punto la mesa que puede iniciar un segundo proceso de paz en Colombia en el dia de hoy. Espero de todos los combatientes del EMC la máxima responsabilidad con la tarea que se inicia. La responsabilidad es con la historia de Colombia y hoy es um mensaje de coherencia al mundo. El conflicto se soluciona hablando. Colombia para ser vida tiene que ser Paz. VIDA Y PAZ es la consigna.
420,La ONU da apoyo al proceso de paz con ELN. https://www.eltiempo.com/politica/proceso-de-paz/delegacion-de-paz-celebro-pronunciamiento-de-la-onu-sobre-negociacion-con-el-eln-815865
421,Otras tres toneladas de cocaína acaban de ser incautadas en el pacífico
422,Le pido a la fiscalía @FiscaliaCol investigar la conducta de la persona que atenta contra el exalcalde de Medellín. La disputa política no debe ser llevada a la violencia. Medellín es un territorio de Paz.
423,Más de una tonelada de cocaína incautada por la Armada en el pacífico colombiano.
424,"Le doy la bienvenida a la Corte Interamericana de Derechos Humanos. Todas las sentencias de la Corte serán cumplidas por el gobierno, como es nuestra obligación en pos de una sociedad justa. Solicito a todos las y los jueces de Colombia aplicar el derecho convencional en sus fallos. La Convención Americana de los Derechos Humanos y los demás tratados de DDHH son parte de nuestra Constitución y deben ser acatados a cabalidad."
425,"Mientras el mundo se embarca de guerra en guerra, nosotros vamos por la Paz."
426,"En San Juan Arama, Meta, entrego mil hectareas a 200 familias de firmantes de paz. Titulo 38.000 hectareas en el VIchada a 56 familias campesinas. Y constituyo el resguardo Aseinpome de los pueblos Kubeo y Sikuani en Puerto Gaitán, Meta con 1.500 hectáreas."
427,Tres toneladas de coacaína más caen en las operaciones de interdicción.
428,"Mientras el país tuvo gobiernos donde se desaparecía centenares de personas quemados en hornos crematorios, se mataban a más de 6.000 jóvenes inocentes y se construían fosas comunes para decenas de miles de personas asesinadas. Logramos un gobierno que es certificado por su respeto a los derechos humanos. Un gobierno así será atacado, buscando su derribamiento por los cómplices de estos crímenes de lesa humanidad y por quienes buscan que se silencie la verdad."
429,"Te quiero contar Luis Carlos, que los gobiernos que usted apoyaba se gastaban más dinero en el Esmad agrediendo las movilizaciones populares que nosotros ayudando al pueblo a movilizarse. La democracia es antes que nada, una democracia movilizada."
430,En el Consejo de seguridad de Bogotá que realizamos en Kennedy.
431,El Cauca se movilizó por la vida y contra quienes ejercen violencia en su territorio. El Cauca quiere la Paz.
432,Mañaba espero que el Cauca entero salga a laa calles a decirle a loa violentos que su tiempo se acabó. El tiempo de Colombia es la paz. Mañana 27 de septiembre a movernos por la Vida.
433,Casi una tonelada de cocaína cae en el golfo de Urabá
434,Hemos he hecho un aumento de ingresos mensuales para los soldados regulares y los auxiliares de policía tal como lo prometimos. https://www.elespectador.com/politica/petro-ya-firmo-decreto-que-aumenta-bonificacion-mensual-de-miembros-de-fuerza-publica/?outputType=amp
435,"El EMC en el Cauca está en pleno frenesí bélico porque sabe que esta perdiendo su fuente de dinero, el ejército avanza sin parar en el valle del Micay donde se concentra el 75% de la hoja de coca del Cauca."
436,Más de una tonelada de cocaína capturada en San Andrés por la armada. https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/san-andres-incautan-motonave-con-1-2-toneladas-de-cocaina-cinco-personas-capturadas-808921
437,"Las asambleas campesinas muestran que el campesinado, sujeto de derechos, se despierta en Colombia. Quiere sus derechos y es el tiempo de saldar esta deuda histórica. El campesinado representa la posibilidad de Paz y de Nación para Colombia"
438,La paz necesita un vuelo sostenido.
439,"Repudiable atentado en Jamundí, Valle. Seguimos afectando las economías ilegales y la reacción son hechos de violencia. No cederemos. La Fuerza Pública debe copar militarmente el territorio y como gobierno llegaremos de manera integral a estas poblaciones."
440,"Invito a todas las fuerzas ciudadanas del Cauca, a sus jóvenes, a sus trabajadores, a las mujeres al campesinado, a las negritudes, al movimiento indígena, a marchar este 27 de septiembre por la Paz.. a moverse por la Vida"
441,"Las acciones comunales de todo el país han anunciado su movilización el 27 de septiembre en las marchas por la Vida y la Justicia Social, las marchas por la paz. Adelante."
442,"Las acciones del EMC en el Cauca son su respuesta a nuestra ofensiva en el valle del Micay donde se produce el 70% de la hoja de coca del Cauca. Nuestro objetivo se mantiene. El valle del Micay sera el ejemplo de como se sustituye una economía ilícita por una lícita en favor del campesinado. He ordenado sin dejar de recuperar por completo el Valle del Micay, y con este objetivo como prioridad, una presencia aun mayor, militar y policial en el Cauca"
443,Poderosa captura de narcos del mundo realiza la policía colombiana.
444,La marcha por la Vida en toda Colombia: 27S
445,"Los Castro cuidaron que los niños tuvieran comida, salud y educación, en cambio tú, Duque, los bombardeaste. Creiste que si morían los niños moría el comunismo, tanta estupidez pensaste. Quizás sea peor la dictadura del que cree que es bendito el matar 6.402 jóvenes, pensando que así termina el comunismo, que aquella de los Castro. Me importa un pito los que se creen demócratas con la sangre de niños colombianos y cubanos en sus manos"
446,Entre el liderazgo del país hemos mejorado sustancialmente la imagen de la policía y del ejército.
447,En el foro sobre Fentanilo . Medellín.
448,Incautadas 3 toneladas de cocaína en San Andrés. Ya se han incautado casi 300 toneladas de cocaína este año pero no aparece quienes son los dueños de esa cocaína.
449,"Volver al paramilitarismo y al despojo de tierras sería el peor error militar de la fuerza pública. Esto no puede pasar en este gobierno. Es el mismo ejército quien debe presentar públicamente, al lado del gobierno, su propia investigación en estos hechos."
450,"Reunión con varios alcaldes de capitales para examinar problemas de los sistemas integrados de transporte masivo, de inseguridad, y de política para defender la juventud del Fentanilo."
451,Mis palabras en la clausura de la Conferencia Latinoamericana sobre Drogas en Cali.
452,La alianza estratégica. A configurar un gran acuerdo latinoamericano sobre política de drogas y política de inmigración. Con México propondremos el cambio de Deuda por Acción climática.
453,Se ha reducido el número de personas asesinadas en masacres y el número de masacres cometidas en el país en lo que va del año comparado con el año anterior. La Paz total significa llegar a cero masacres en el pais. Paz es Vida.
454,Replantear la guerra contra las drogas. https://elpais.com/america-colombia/2023-09-07/petro-suma-a-lopez-obrador-en-su-reclamo-por-replantear-la-guerra-contra-las-drogas.html
455,"El proceso de paz urbana en Medellín y el Valle de Aburrá avanza con la guía de la Paz Total. En forma inédita han despegado tres procesos: Valle del Aburrá, Quibdó y Buenaventura. En las tres regiones ha disminuido de manera sustancial la tasa de homicidios."
456,"En Cali del 7 del 9 de septiembre discutiremos con toda la América Latina la politica internacional sobre Drogas, su eficacia y su posible reforma."
457,Desescalar el conflicto es importante. Hablar es la única manera de entenderse con eficacia entre los seres humanos. No podemos exigir que en el mundo cese la guerra sino somos capaces de acabar la nuestra.. Creemos que es imposible vivir en paz pero debemos hacer hasta lo imposible.
458,Se incautaron 4 toneladas de cocaina en zona rural de Nariño.
